timestamp,writeCount,replicationCount,replicationLatencies,readLatencies
"2025-11-17T10:21:02.006534846Z",1,0,"{}","{}"
"2025-11-17T10:21:02.152601088Z",2,1,"{""DC3"":117}","{}"
"2025-11-17T10:21:03.759762608Z",2,1,"{""DC3"":117}","{""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:05.753256253Z",2,1,"{""DC3"":117}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:07.752826465Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:09.752649545Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:11.752659674Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:13.752930162Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:15.752676056Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:17.752901681Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:19.752801857Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:21.752686099Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:23.752749896Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:25.752720693Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:27.752624985Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:29.752702320Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:31.752749781Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:33.752747632Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:35.753129075Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:37.752785193Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:39.752598031Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:41.752610162Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:43.752543830Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:45.752657334Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:47.752777097Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:49.752651279Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:51.752645302Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:53.752559277Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:55.752268152Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:57.752677508Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:21:59.752628067Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:01.752757771Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:03.752595289Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:05.752555714Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:07.752444500Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:09.752589715Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:11.752478429Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:13.752464119Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:15.752444304Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:17.752480984Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:19.752531618Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:21.752628966Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:23.751817824Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:25.752541678Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:27.752447043Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:29.752634073Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:31.752444664Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:33.752552695Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:35.752688609Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:37.752451517Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:39.752623938Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:41.752541295Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:43.752492340Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:45.752593484Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:47.752525152Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:49.752646760Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:51.752342633Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:53.752391287Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:55.752463615Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:57.752461575Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:22:59.752498512Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:01.752578846Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:03.752441323Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:05.752437599Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:07.753052747Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:09.752444885Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:11.752411701Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:13.752671721Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:15.752410498Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:17.752513099Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:19.752451729Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:21.752347923Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:23.752399350Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:25.752637115Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:27.752371317Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:29.752510483Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:31.752542521Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:33.752463992Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:35.752276346Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:37.752420564Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:39.752561558Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:41.752407645Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:43.752442114Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:45.752463383Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:47.752717372Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:49.752148899Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
"2025-11-17T10:23:51.752864947Z",2,4,"{""DC2"":4596,""DC1"":4592,""DC3"":4575}","{""CAUSAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0},""EVENTUAL"":{""avg_millis"":0,""p50_millis"":0,""p95_millis"":0}}"
